,WT dice,WT jaccard,TC dice,TC jaccard,ET dice,ET jaccard
310,0.9425472077141424,0.8913373860182784,0.8676396577760442,0.76622222222243,0.8249400479622302,0.7020408163268347
311,0.7906168549096437,0.6537356321844056,0.33064516129435484,0.1980676328541156,0.6165413533909775,0.4456521739190689
312,1.0,1.0,1.0,1.0,1.0,1.0
313,1.0,1.0,1.0,1.0,1.0,1.0
314,0.6721717588777869,0.506218905473251,5e-11,4.9999999997500004e-11,6.666666666666667e-11,6.666666666222223e-11
315,0.8104678826330954,0.681333333333475,0.8368568009577184,0.7194787379974489,0.5760683760692308,0.40456182473060676
316,1.0,1.0,1.0,1.0,1.0,1.0
317,1.0,1.0,1.0,1.0,1.0,1.0
318,0.8806584362146777,0.7867647058826143,0.8898305084788135,0.801526717558767,0.9585253456267281,0.9203539823015898
319,0.8904428904434731,0.8025210084035688,0.7219387755114796,0.5648702594819064,0.7450980392176471,0.5937500000012695
320,0.9710824540838219,0.9437903532092884,0.7057268722471366,0.5452688904019433,0.9224544841544167,0.856070087609692
321,0.820754716985849,0.696000000002432,1.0,1.0,1.0,1.0
322,0.827754108339014,0.7061266874354039,1.0,1.0,1.0,1.0
323,0.9356276306017579,0.8790416375901653,0.9492325855968122,0.9033707865169625,0.7841409691637298,0.6449275362323129
324,0.8008444757215576,0.6678403755869844,0.7211538461554488,0.5639097744371832,0.5879120879148352,0.41634241245363296
325,0.9349934848705661,0.8779227841218386,0.7353951890036512,0.5815217391305769,0.6601049868772966,0.49265426052939015
326,0.8235294117764707,0.7000000000059999,1.0,1.0,1.0,1.0
327,1.0,1.0,1.0,1.0,1.0,1.0
328,0.6761710794302443,0.5107692307696071,0.6049700085698372,0.4336609336616294,0.6585662211433779,0.49094202898642947
329,0.8417248255235544,0.7267054013342529,0.8058783321944635,0.67487120778496,0.8026449643952187,0.6703483432458196
330,0.6753138075317991,0.5097915350603223,1e-10,9.999999999000001e-11,1.0,1.0
331,0.4468085106489361,0.28767123288647023,1.0,1.0,1.0,1.0
332,1.0,1.0,1.0,1.0,1.0,1.0
333,1.0,1.0,1.0,1.0,1.0,1.0
334,1.0,1.0,1.0,1.0,1.0,1.0
335,1.0,1.0,1.0,1.0,1.0,1.0
336,0.6273062730645756,0.45698924731328766,0.6534653465396039,0.4852941176508435,0.33121019108917193,0.19847328244886664
337,5e-10,4.9999999975e-10,1.0,1.0,1.0,1.0
338,0.9389600602866114,0.8849431818182363,0.534665833854466,0.36487638533728484,0.5757290686745061,0.40422721268242506
339,0.9698727243436444,0.9415076634344881,0.9204343534059231,0.8525969275786933,0.8352703385550784,0.7171366594361314
340,0.32140762463401756,0.19147449336185082,1.0,1.0,1.0,1.0
341,0.9043348281023916,0.8253751705322983,1.7857142857142857e-11,1.7857142856823982e-11,5.263157894736843e-11,5.263157894459834e-11
342,1.0,1.0,1.0,1.0,1.0,1.0
343,6.329113924050633e-12,6.329113924010576e-12,1.0,1.0,1.0,1.0
344,6.493506493506494e-12,6.493506493464329e-12,1.0,1.0,1.0,1.0
345,0.9276401564540417,0.8650455927052492,0.8269938650312884,0.7050209205024006,0.7061538461546154,0.5457788347211109
346,5e-10,4.9999999975e-10,1.0,1.0,1.0,1.0
347,1.0,1.0,1.0,1.0,1.0,1.0
348,0.8745387453883764,0.7770491803282343,0.8845070422549296,0.7929292929298158,0.8865979381458027,0.7962962962968352
349,0.34538152610843376,0.208737864081511,1.0,1.0,1.0,1.0
350,0.9120654396729876,0.8383458646617094,0.3100775193803987,0.18348623853264515,0.39506172839917697,0.24615384615771202
351,0.7959866220769231,0.6611111111129939,0.14285714292857143,0.07692307699408285,1.6666666666666669e-10,1.666666666388889e-10
352,0.6834951456314563,0.5191740412982188,7.692307692307692e-11,7.692307691715976e-11,1.0,1.0
353,4.201680672268908e-12,4.201680672251254e-12,2.5e-10,2.499999999375e-10,1e-09,9.99999999e-10
354,0.6339691189836513,0.46409574468156367,1.0,1.0,1.0,1.0
355,9.70873786407767e-12,9.70873786398341e-12,1.0,1.0,1.0,1.0
356,0.9281102023250107,0.8658634538153688,1.0,1.0,1.0,1.0
357,0.9204281060963239,0.8525862068966789,0.8306878306884921,0.7104072398193321,0.8503213957768595,0.7396166134189462
358,1.0,1.0,1.0,1.0,1.0,1.0
359,2e-10,1.9999999996e-10,1.0,1.0,1.0,1.0
360,0.8794063079786641,0.7847682119208862,1.612903225806452e-11,1.6129032257804374e-11,1e-09,9.99999999e-10
361,0.9790051068660867,0.9588736569099819,0.8317495807716602,0.7119617224881761,0.9007695423252329,0.8194546794400741
362,0.9119782214157592,0.8381984987490024,0.9185897435900641,0.8494368701838474,0.865384615385,0.7627118644069405
363,1.0,1.0,1.0,1.0,1.0,1.0
364,0.9644046094751602,0.9312561819980387,0.8187793427234742,0.6931637519875253,0.7925407925413753,0.656370656370988
365,0.9207095533235735,0.8530693069307512,0.8057675996615776,0.6747159090913711,0.7200811359036511,0.5625990491290609
366,1.0,1.0,1.0,1.0,1.0,1.0
367,1.0,1.0,1.0,1.0,1.0,1.0
368,0.9229434726038745,0.8569127516778907,0.9186228482005087,0.8494934876990414,0.8854961832063382,0.7945205479452908
369,0.9334130781501198,0.8751401869159345,0.9009843659530978,0.8198103266598316,0.9352517985618051,0.8783783783785278
370,0.953786595693443,0.9116558741906051,0.9244712990966767,0.8595505617985418,0.6974789916008403,0.5354838709707389
371,0.9233390119253265,0.8575949367089358,0.9411239964322033,0.888795282224188,0.935218978102646,0.8783204798630005
372,0.9217770509677025,0.8549039433771853,0.9045741324923108,0.8257739380850159,0.8437576649499632,0.7297411964362623
